id,EC1,EC2
14838,0.4983631815600013,0.3230366545075184
14839,0.8893556153847669,0.31663552246675025
14840,0.7327258506010556,0.31347109936188317
14841,0.6744793842062228,0.45934232705539013
14842,0.7102893198037953,0.3295551796667245
14843,0.46618204903336535,0.39837300871083825
14844,0.6797729170370987,0.39663883690557417
14845,0.644736527389396,0.47012789125833415
14846,0.6748229776671028,0.3595754178596701
14847,0.7785426836930428,0.2816070091972448
14848,0.724188773525012,0.4376943004835119
14849,0.8276028355507805,0.4281836088493584
14850,0.6833260695658977,0.3223093923545343
14851,0.4224370845568397,0.5267777502152234
14852,0.49595502473974734,0.3999773327089347
14853,0.6360375111971406,0.4813250607001753
14854,0.7246255549947186,0.2982659616174239
14855,0.66978173339003,0.29729970046829046
14856,0.7096599876265904,0.30067971604102417
14857,0.8132438435921707,0.2959214767610753
14858,0.8487399738416412,0.10469046129261504
14859,0.6692973729126829,0.32684340403961987
14860,0.5997571027487588,0.49854830412510837
14861,0.8344385197333993,0.4406378214526859
14862,0.8565626051747712,0.316248587732291
14863,0.6982318574281683,0.48161361994045176
14864,0.6821958116686281,0.31555147583110627
14865,0.639295850057604,0.20762951058289297
14866,0.5180117773868894,0.3972490584744562
14867,0.5377346172707118,0.4863600544681429
14868,0.7833547340412682,0.293007441934527
14869,0.7021144828386772,0.2862893265893137
14870,0.7096366632898535,0.3180230869534308
14871,0.8297842618388566,0.43727181691842243
14872,0.6994912665631525,0.3025805338589178
14873,0.6546652689745972,0.31421880191021445
14874,0.7851839495297083,0.17530020520150588
14875,0.7700684372404597,0.09919741965035095
14876,0.4863463303612616,0.4708451035610951
14877,0.6791182552592954,0.3294109105833298
14878,0.7085075126416476,0.5006049229211841
14879,0.7584852568380983,0.42733651501134295
14880,0.7144738341834739,0.31507280481123606
14881,0.8285660038993471,0.43582038955769437
14882,0.7382674029870222,0.29904829674180267
14883,0.7830044240659099,0.24028303945564797
14884,0.830650869314615,0.3816507207150656
14885,0.8310544335106355,0.38711340783211473
14886,0.4843360831626259,0.34044717981204814
14887,0.8030065231403707,0.42582148469153785
14888,0.743005308620626,0.29073452279071754
14889,0.7632781092844355,0.24409167932831963
14890,0.49985549751890984,0.10442584313000852
14891,0.6502595725263834,0.4605849969580332
14892,0.7797700048118764,0.4233510158999305
14893,0.7883500457501045,0.4535585983424575
14894,0.562699953493782,0.348749821775552
14895,0.5963587603108047,0.47804882673267524
14896,0.6855219382873604,0.2966871096954687
14897,0.7174806340607497,0.3162116998228532
14898,0.6854440059589543,0.4886712671514987
14899,0.5841460868756391,0.3351078897945162
14900,0.39590285724070073,0.3578069831105246
14901,0.60041469477823,0.483851490024434
14902,0.438598908321057,0.4850321199959597
14903,0.6795411307848777,0.31345676409050066
14904,0.5554731864207464,0.5693951521518369
